 2026-04-26 11:00:00,798 | INFO | app.api.company_routes | all company requested 
2026-04-29 16:01:53,432 | INFO | app.main | <function uuid4 at 0x10b38c7c0> is done 
2026-04-29 16:02:00,089 | INFO | app.main | <function uuid4 at 0x10b38c7c0> is started!! 
2026-04-29 16:02:00,091 | INFO | app.api.company_routes | all company requested 
2026-04-29 16:02:00,098 | INFO | app.main | <function uuid4 at 0x10b38c7c0> is done 
2026-05-05 08:33:33,599 | INFO | app.main | <function uuid4 at 0x10718c720> is started!! 
2026-05-05 08:33:33,600 | INFO | app.main | <function uuid4 at 0x10718c720> is done 
2026-05-05 08:33:33,786 | INFO | app.main | <function uuid4 at 0x10718c720> is started!! 
2026-05-05 08:33:33,805 | INFO | app.main | <function uuid4 at 0x10718c720> is done 
2026-05-05 08:33:38,291 | INFO | app.main | <function uuid4 at 0x10718c720> is started!! 
2026-05-05 08:34:21,271 | INFO | app.main | <function uuid4 at 0x106de4720> is started!! 
2026-05-05 08:34:21,276 | INFO | app.main | <function uuid4 at 0x106de4720> is done 
2026-05-05 08:34:26,927 | INFO | app.main | <function uuid4 at 0x106de4720> is started!! 
2026-05-05 08:34:26,944 | INFO | app.main | <function uuid4 at 0x106de4720> is done 
2026-05-05 08:34:35,417 | INFO | app.main | <function uuid4 at 0x106de4720> is started!! 
2026-05-05 08:34:35,425 | INFO | app.main | <function uuid4 at 0x106de4720> is done 
2026-05-05 08:34:44,769 | INFO | app.main | <function uuid4 at 0x106de4720> is started!! 
2026-05-05 08:34:44,773 | INFO | app.main | <function uuid4 at 0x106de4720> is done 
2026-05-05 08:34:56,108 | INFO | app.main | <function uuid4 at 0x106de4720> is started!! 
2026-05-05 08:34:56,114 | INFO | app.main | <function uuid4 at 0x106de4720> is done 
2026-05-05 08:35:53,361 | INFO | app.main | <function uuid4 at 0x108c38720> is started!! 
2026-05-05 08:35:53,368 | INFO | app.main | <function uuid4 at 0x108c38720> is done 
2026-05-05 08:35:57,596 | INFO | app.main | <function uuid4 at 0x108c38720> is started!! 
2026-05-05 08:35:57,606 | INFO | app.main | <function uuid4 at 0x108c38720> is done 
2026-05-05 08:36:05,812 | INFO | app.main | <function uuid4 at 0x108c38720> is started!! 
2026-05-05 08:36:05,820 | INFO | app.main | <function uuid4 at 0x108c38720> is done 
2026-05-05 08:36:12,192 | INFO | app.main | <function uuid4 at 0x108c38720> is started!! 
2026-05-05 08:36:12,200 | INFO | app.main | <function uuid4 at 0x108c38720> is done 
2026-05-05 08:36:27,446 | INFO | app.main | <function uuid4 at 0x108c38720> is started!! 
2026-05-05 08:36:27,455 | INFO | app.main | <function uuid4 at 0x108c38720> is done 
2026-05-05 08:36:42,956 | INFO | app.main | <function uuid4 at 0x108c38720> is started!! 
2026-05-05 08:36:42,959 | INFO | app.main | <function uuid4 at 0x108c38720> is done 
2026-05-05 10:05:48,527 | INFO | app.main | <function uuid4 at 0x106878720> is started!! 
2026-05-05 10:05:48,528 | INFO | app.main | <function uuid4 at 0x106878720> is done 
2026-05-05 10:05:48,684 | INFO | app.main | <function uuid4 at 0x106878720> is started!! 
2026-05-05 10:05:48,705 | INFO | app.main | <function uuid4 at 0x106878720> is done 
2026-05-05 10:05:54,977 | INFO | app.main | <function uuid4 at 0x106878720> is started!! 
2026-05-05 10:05:54,986 | INFO | app.main | <function uuid4 at 0x106878720> is done 
2026-05-05 10:06:00,949 | INFO | app.main | <function uuid4 at 0x106878720> is started!! 
2026-05-05 10:06:00,962 | INFO | app.main | <function uuid4 at 0x106878720> is done 
2026-05-05 10:06:03,998 | INFO | app.main | <function uuid4 at 0x106878720> is started!! 
2026-05-05 10:06:04,003 | INFO | app.main | <function uuid4 at 0x106878720> is done 
2026-05-05 10:06:13,632 | INFO | app.main | <function uuid4 at 0x106878720> is started!! 
2026-05-05 10:06:13,638 | INFO | app.main | <function uuid4 at 0x106878720> is done 
2026-05-05 10:06:20,517 | INFO | app.main | <function uuid4 at 0x106878720> is started!! 
2026-05-05 10:06:20,527 | INFO | app.main | <function uuid4 at 0x106878720> is done 
2026-05-05 10:06:28,685 | INFO | app.main | <function uuid4 at 0x106878720> is started!! 
2026-05-05 10:06:28,691 | INFO | app.main | <function uuid4 at 0x106878720> is done 
2026-05-05 10:06:36,740 | INFO | app.main | <function uuid4 at 0x106878720> is started!! 
2026-05-05 10:06:36,745 | INFO | app.main | <function uuid4 at 0x106878720> is done 
2026-05-05 10:06:43,521 | INFO | app.main | <function uuid4 at 0x106878720> is started!! 
2026-05-05 10:06:43,528 | INFO | app.main | <function uuid4 at 0x106878720> is done 
2026-05-05 10:06:50,646 | INFO | app.main | <function uuid4 at 0x106878720> is started!! 
2026-05-05 10:06:50,649 | INFO | app.main | <function uuid4 at 0x106878720> is done 
2026-05-05 11:32:52,963 | INFO | app.main | <function uuid4 at 0x108b00720> is started!! 
2026-05-05 11:32:52,964 | INFO | app.main | <function uuid4 at 0x108b00720> is done 
2026-05-05 11:32:53,042 | INFO | app.main | <function uuid4 at 0x108b00720> is started!! 
2026-05-05 11:32:53,065 | INFO | app.main | <function uuid4 at 0x108b00720> is done 
2026-05-05 11:32:56,951 | INFO | app.main | <function uuid4 at 0x108b00720> is started!! 
2026-05-05 11:32:56,955 | INFO | app.main | <function uuid4 at 0x108b00720> is done 
2026-05-05 11:34:14,089 | INFO | app.main | <function uuid4 at 0x10742c720> is started!! 
2026-05-05 11:34:14,095 | INFO | app.main | <function uuid4 at 0x10742c720> is done 
2026-05-05 11:34:56,611 | INFO | app.main | <function uuid4 at 0x10917c720> is started!! 
2026-05-05 11:34:56,617 | INFO | app.main | <function uuid4 at 0x10917c720> is done 
2026-05-05 11:35:04,904 | INFO | app.main | <function uuid4 at 0x10917c720> is started!! 
2026-05-05 11:35:04,910 | INFO | app.main | <function uuid4 at 0x10917c720> is done 
2026-05-05 11:35:11,034 | INFO | app.main | <function uuid4 at 0x10917c720> is started!! 
2026-05-05 11:35:11,046 | INFO | app.main | <function uuid4 at 0x10917c720> is done 
2026-05-05 11:35:21,279 | INFO | app.main | <function uuid4 at 0x10917c720> is started!! 
2026-05-05 11:35:21,283 | INFO | app.main | <function uuid4 at 0x10917c720> is done 
2026-05-05 11:35:34,307 | INFO | app.main | <function uuid4 at 0x10917c720> is started!! 
2026-05-05 11:35:34,319 | INFO | app.main | <function uuid4 at 0x10917c720> is done 
2026-05-05 11:35:47,008 | INFO | app.main | <function uuid4 at 0x10917c720> is started!! 
2026-05-05 11:35:47,011 | INFO | app.main | <function uuid4 at 0x10917c720> is done 
2026-05-05 11:35:53,412 | INFO | app.main | <function uuid4 at 0x10917c720> is started!! 
2026-05-05 11:35:53,416 | INFO | app.main | <function uuid4 at 0x10917c720> is done 
2026-05-05 11:46:27,984 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:46:27,985 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:46:28,066 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:46:28,086 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:46:31,879 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:46:31,887 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:46:39,512 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:46:39,524 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:46:41,658 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:46:41,663 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:46:54,339 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:46:54,345 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:47:09,791 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:47:09,804 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:47:17,523 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:47:17,526 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:47:20,497 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:47:20,510 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:47:23,037 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:47:23,040 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:47:29,347 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:47:29,353 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:47:34,160 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:47:34,164 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:47:38,072 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:47:38,074 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:47:50,312 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:47:50,319 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:47:54,389 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:47:54,400 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:48:00,866 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:48:00,872 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:48:03,853 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:48:03,856 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:48:07,960 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:48:07,963 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:48:17,940 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:48:17,945 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:48:25,166 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:48:25,169 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:48:30,125 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:48:30,133 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:48:37,045 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:48:37,048 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:48:40,717 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:48:40,727 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:48:49,843 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:48:49,846 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
2026-05-05 11:48:55,156 | INFO | app.main | <function uuid4 at 0x1093a0720> is started!! 
2026-05-05 11:48:55,166 | INFO | app.main | <function uuid4 at 0x1093a0720> is done 
